URL,Size,OutLinks,ContentType
http://abcnews.go.com/,188825,181,text/html
http://abcnews.go.com/Politics/sunday-week-sarah-huckabee-sanders-rep-nancy-pelosi/story?id=45722404,67472,61,text/html
http://abcnews.go.com/topics/news/iran.htm,46518,33,text/html
http://abcnews.go.com/Politics/dnc-chair-tom-perez/story?id=45734565,69888,68,text/html
http://abcnews.go.com/Politics/trumps-revised-immigration-order-expected-renew-ban-muslim/story?id=45615961,74294,71,text/html
http://abcnews.go.com/Politics/kentucky-gov-steven-beshear-give-democratic-response-trumps/story?id=45712235,70864,67,text/html
http://abcnews.go.com/Politics/president-trump-replace-halted-travel-ban-executive-order/story?id=45545474,74975,73,text/html
http://abcnews.go.com/Politics/pentagon-plans-modernize-us-nuclear-arsenal/story?id=44372054,73887,67,text/html
http://abcnews.go.com/Politics/trump-signs-executive-order-remove-job-killing-regulations/story?id=45711543,70013,61,text/html
http://abcnews.go.com/topics/news/washington-state.htm,44647,31,text/html
http://abcnews.go.com/topics/news/iraq.htm,44716,33,text/html
http://abcnews.go.com/author/lauren_pearle,56789,77,text/html
http://abcnews.go.com/topics/news/issues/executive-orders.htm,46802,36,text/html
http://abcnews.go.com/amp/Politics/trump-list-shows-746-travelers-detained-processed-travel/story?id=45646957,26632,11,text/html
http://abcnews.go.com/topics/news/somalia.htm,44751,31,text/html
http://abcnews.go.com/Lifestyle/costume-queen-willow-channels-la-la-land-oscars/story?id=45717942,80503,79,text/html
http://abcnews.go.com/International/wireStory/rights-office-slams-israeli-soldiers-lenient-sentence-45708406,77425,69,text/html
http://abcnews.go.com/Lifestyle/86-year-georgia-man-donates-400k-recycling-profits/story?id=45683977,81242,74,text/html
http://abcnews.go.com/US/fire-florida-mosque-investigated-arson/story?id=45711657,75978,68,text/html
http://abcnews.go.com/nightline,154193,85,text/html
http://abcnews.go.com/Politics/bashes-anonymous-sources-trump/story?id=45715113,79125,77,text/html
http://abcnews.go.com/Politics/video/donald-trump-jr-basics-43609444,65248,86,text/html
http://abcnews.go.com/International/wireStory/cuba-year-castro-president-45703419,81529,70,text/html
